相手,段数,目安の得点差,重み,経路,試合1,試合2,試合3
学習院,3,-2,0.042,武蔵丘 → 城北 → 東海大学菅生 → 学習院,武蔵丘 × 0-1 城北（2024 選手権 ブロック決勝）,城北 × 2-2 PK負 7-8 東海大学菅生（2024 選手権 1回戦）,東海大学菅生 × 1-2 学習院（2025 総体 ブロック決勝）
学習院,3,-1,0.042,武蔵丘 → 都立八丈 → 東海大学菅生 → 学習院,武蔵丘 ○ 6-1 都立八丈（2025 選手権 1回戦）,都立八丈 × 1-15 東海大学菅生（2023 選手権 2回戦）,東海大学菅生 × 1-2 学習院（2025 総体 ブロック決勝）
学習院,3,4,0.0294,武蔵丘 → 杉並 → 淑徳巣鴨 → 学習院,武蔵丘 ○ 8-1 杉並（2023 新人戦 2回戦）,杉並 × 1-3 淑徳巣鴨（2025 選手権 2回戦）,淑徳巣鴨 ○ 2-1 学習院（2024 新人戦 準決勝）
学習院,3,-1,0.0294,武蔵丘 → 杉並学院 → 狛江 → 学習院,武蔵丘 × 2-3 杉並学院（2023 新人戦 3回戦）,杉並学院 × 1-3 狛江（2025 総体 2回戦）,狛江 ○ 3-1 学習院（2024 選手権 ブロック決勝）
学習院,3,-2,0.0294,武蔵丘 → 学大国際 → 成城学園 → 学習院,武蔵丘 ○ 3-1 学大国際（2024 新人戦 2回戦）,学大国際 × 0-10 成城学園（2024 総体 2回戦）,成城学園 ○ 2-1 学習院（2024 総体 1回戦）
学習院,3,4,0.0294,武蔵丘 → 日大鶴ヶ丘 → 石神井 → 学習院,武蔵丘 × 2-3 日大鶴ヶ丘（2024 新人戦 準々決勝）,日大鶴ヶ丘 ○ 3-0 石神井（2025 新人戦 準決勝）,石神井 ○ 3-1 学習院（2023 総体 1回戦）
学習院,3,-2,0.0294,武蔵丘 → 日大鶴ヶ丘 → 明星学園 → 学習院,武蔵丘 × 2-3 日大鶴ヶ丘（2024 新人戦 準々決勝）,日大鶴ヶ丘 × 3-5 明星学園（2023 総体 1回戦）,明星学園 ○ 2-1 学習院（2025 選手権 2回戦）
学習院,3,1,0.0294,武蔵丘 → 日大鶴ヶ丘 → 専修大学附属 → 学習院,武蔵丘 × 2-3 日大鶴ヶ丘（2024 新人戦 準々決勝）,日大鶴ヶ丘 ○ 5-4 専修大学附属（2026 総体 ブロック決勝）,専修大学附属 ○ 2-1 学習院（2022 選手権 ブロック決勝）
学習院,3,-2,0.0294,武蔵丘 → 佼成学園 → 石神井 → 学習院,武蔵丘 × 0-2 佼成学園（2025 新人戦 2回戦）,佼成学園 × 0-2 石神井（2024 総体 2回戦）,石神井 ○ 3-1 学習院（2023 総体 1回戦）
学習院,3,-1,0.0294,武蔵丘 → 駒場 → 狛江 → 学習院,武蔵丘 × 0-2 駒場（2024 総体 2回戦）,駒場 × 1-2 狛江（2024 新人戦 決勝）,狛江 ○ 3-1 学習院（2024 選手権 ブロック決勝）
学習院,3,3,0.0294,武蔵丘 → 駒場 → 狛江 → 学習院,武蔵丘 × 0-2 駒場（2024 総体 2回戦）,駒場 ○ 3-0 狛江（2024 総体 ブロック決勝）,狛江 ○ 3-1 学習院（2024 選手権 ブロック決勝）
